epoch,train_loss,val_loss,val_nonfinite_prob_count,val_nonfinite_prob_fraction,val_auroc,val_auprc,val_accuracy,val_precision,val_recall,val_f1
1,0.010076322405028247,0.008636511276523418,0.0,0.0,0.8326387060605381,0.1842998191084568,0.995150710941377,1.0,0.15745079662605435,0.2720647773279352
2,0.008968094116920863,0.008510480161531123,0.0,0.0,0.8545082106858555,0.23115582024381773,0.9951979092497897,1.0,0.165651358950328,0.2842211055276382
3,0.008869066453029734,0.00827334509829218,0.0,0.0,0.8397838829553126,0.2300979977679721,0.9951992577728871,1.0,0.16588566073102157,0.2845659163987138
4,0.008891982483635343,0.008590110320026045,0.0,0.0,0.8268760534402344,0.22068234391573216,0.9951561050337671,1.0,0.1583880037488285,0.27346278317152106
5,0.008954869777511452,0.008376175287924194,0.0,0.0,0.8271189042594984,0.22459859871811352,0.9951884695881071,1.0,0.1640112464854733,0.28180354267310787
6,0.008763059150892835,0.008373026158961284,0.0,0.0,0.8331012361706069,0.23237818929597248,0.9951992577728871,1.0,0.16588566073102157,0.2845659163987138
7,0.008723450804928215,0.00846676741999185,0.0,0.0,0.8315870535560271,0.23156692181948166,0.9951992577728871,1.0,0.16588566073102157,0.2845659163987138
8,0.00911390657567946,0.00840443670960747,0.0,0.0,0.8293816084864214,0.2289660776570421,0.9951682417416445,1.0,0.1604967197750703,0.2766000403795679
9,0.008740849129735056,0.008341046321400246,0.0,0.0,0.832219149475727,0.22580711346752635,0.9951992577728871,1.0,0.16588566073102157,0.2845659163987138
10,0.009041089235411984,0.0098774939724935,0.0,0.0,0.7906446316452522,0.03685445583116805,0.9942445034198546,0.0,0.0,0.0
